PMID,Year,Title,Authors,Journal,Article,Total Citations,Cited By PMIDs,Total References,Cited PMIDs,DOI
16476528,2006,mNSC1 shows no evidence of protein-coding capacity.,"Christina Wilson, Paula Goetting-Minesky, Anton Nekrutenko",Gene,Yes,1,18036258,5,11932250 11672845 7935834 12123841 9439634,10.1016/j.gene.2005.11.016
17034899,2006,Functionality of unspliced XBP1 is required to explain evolution of overlapping reading frames.,"Anton Nekrutenko, Jianbin He",Trends Genet,No,28,29057323 35720621 21703863 33087521 26677845 21061914 21364565 19748352 18802324 34240112 32166747 32597296 24653727 33011436 22187135 27768738 18386815 17511511 17565364 22013210 34740374 17979529 17652172 23711292 29568102 18325113 27519412 20820768,18,12839495 16825573 15642095 11764276 16461360 8521522 15952902 12954762 12719376 11595189 16184190 10357823 11780124 11447126 16110341 15351732 16332684 12142265,10.1016/j.tig.2006.09.012
17511511,2007,A first look at ARFome: dual-coding genes in mammalian genomes.,"Wen-Yu Chung, Samir Wadhawan, Radek Szklarczyk, Sergei Kosakovsky Pond, Anton Nekrutenko",PLoS Comput Biol,Yes,51,30346517 24293369 18953341 18842685 32669370 27647212 23686658 22493785 31840176 34240112 30339683 37425881 25564866 20212158 23433480 23966842 34012080 24262213 32452417 20003297 26578573 33044064 20436511 21994248 22593554 34159333 36846827 30026186 25345708 20097399 18270559 20157333 31088903 34505896 22187135 26364619 22613085 29626081 24514441 28991908 31455236 23161689 28627015 24019076 28202767 37216125 34067514 18325113 18408156 34073395 20820768,27,12047938 8521522 11779464 11744699 2554307 12719376 16258073 10708748 15878778 16110341 12940771 15509596 12839495 16461360 15952902 11559588 17034899 16365380 15032605 16184190 12045153 1315958 11780124 15469942 11447126 1329098 16332684,10.1371/journal.pcbi.0030091
17568012,2007,A framework for collaborative analysis of ENCODE data: making large-scale analyses biologist-friendly.,"Daniel Blankenberg, James Taylor, Ian Schenck, Jianbin He, Yi Zhang, Matthew Ghent, Narayanan Veeraraghavan, Istvan Albert, Webb Miller, Kateryna D Makova, Ross C Hardison, Anton Nekrutenko",Genome Res,Yes,104,25614576 24113537 32080305 22936659 20028690 30097442 19017486 21127502 17053094 21076153 22238257 27661452 33795337 33335147 32669294 24118366 29138298 25001293 24884695 32210925 19617558 35052488 21215856 24771338 19502380 21699709 19804638 39251458 24164379 22426983 21531788 29209335 20738864 21154708 22593555 34681003 34899009 35163319 29790989 31276591 23019592 18347593 22122639 23260764 21775304 34029722 21261974 17984227 24753418 29688462 20238087 20562416 19465388 20691053 26943582 21602788 20523745 20700734 21769930 27200084 19921448 21127032 19128492 19208250 17941704 18428782 20795780 18838675 17568003 21499217 21177645 21602820 21736739 24533097 33907528 19609352 21635747 21636662 21400673 20861161 18945685 20531367 18388141 38998608 18024971 29868789 21531983 21750107 31182012 25568942 21325135 27013647 24752895 28460352 21364759 26776185 21317142 20219940 19041391 34591682 21998740 22700312 21967423 21450055,16,15057822 16024817 15499007 16341006 16169926 16606698 15285899 14993201 15790807 8170371 16136131 16024819 15140948 2338834 12529302 15509596,10.1101/gr.5578007
17652172,2007,Rapid asymmetric evolution of a dual-coding tumor suppressor INK4a/ARF locus contradicts its function.,"Radek Szklarczyk, Jaap Heringa, Sergei Kosakovsky Pond, Anton Nekrutenko",Proc Natl Acad Sci U S A,Yes,19,22187135 31004987 20820768 26394435 34073395 33127453 34505896 35146756 23839046 20333199 18990760 28202767 25550505 34159333 27048986 25503326 26225579 22998186 20212158,48,12047938 10360174 12506196 17109012 11779464 16528052 10666708 16110341 12839495 16043700 11707606 16354195 11559588 17055429 14992493 14729947 9529248 15273686 9823374 10445844 11584300 16957737 8521522 12719376 12529312 10937248 12716985 10679383 9505935 15878778 11704876 15913825 15509596 12421567 11718560 8583885 11818563 17034899 16365380 16973862 16762098 8622687 16957738 11447126 17389874 16957735 16943625 9136027,10.1073/pnas.0703238104
17984227,2007,28-way vertebrate alignment and conservation track in the UCSC Genome Browser.,"Webb Miller, Kate Rosenbloom, Ross C Hardison, Minmei Hou, James Taylor, Brian Raney, Richard Burhans, David C King, Robert Baertsch, Daniel Blankenberg, Sergei L Kosakovsky Pond, Anton Nekrutenko, Belinda Giardine, Robert S Harris, Svitlana Tyekucheva, Mark Diekhans, Thomas H Pringle, William J Murphy, Arthur Lesk, George M Weinstock, Kerstin Lindblad-Toh, Richard A Gibbs, Eric S Lander, Adam Siepel, David Haussler, W James Kent",Genome Res,Yes,207,18818370 20126624 23640124 30265593 23129659 35789856 38362268 27899600 18955434 22384176 25273068 31801606 26527729 21109530 22705667 33450015 29380046 24946830 22590469 24794429 21501495 19474342 32354350 18723883 25955356 30659175 19858363 38778183 21398631 21604162 21762762 25101797 32109669 26079130 19372376 29626081 21775304 23383994 26531099 31312019 32966296 19715598 20610610 18272478 20195257 24135875 21789175 19424416 23446869 32766810 20874406 26330450 20118932 19225104 20864445 20657742 27323842 32039714 20220758 37924864 24222909 19128492 20885980 31608947 18832442 25821520 24021153 19478016 26130573 19835619 32841231 18302738 30485709 18436778 19609352 35253438 27573374 22998089 19684851 27359102 29928573 25144359 38231285 29955898 22950704 30455444 24408657 36458895 26537225 22363373 23377868 21378009 19041391 22412834 20643359 23422670 26464126 21899419 32658973 19208640 26084559 21177881 25375783 19020620 34652059 20378774 23228284 31238981 23404894 21685080 20080632 31899510 18443038 22306824 25504045 37276781 18453628 21875934 31175860 22593552 31828235 21962507 25816229 22216321 23181285 20460271 26934921 37884342 21118975 20433723 27436110 23281809 32128123 21729871 19017655 18784189 39058500 37301913 19732864 19019240 28472388 20219943 20019791 38203513 22128134 36571493 25308971 21665927 19822635 24916300 20333200 29884752 38769069 31221665 18676996 35323195 28336958 18951980 22768981 18794351 26251035 31494555 20209015 19660540 29055695 20335526 20593022 32657367 22537144 23650638 25138168 24661001 20332163 18832441 25375179 19682388 32673391 36357926 35552404 30919278 21798034 18562267 19630566 20657582 29226517 23204404 18515352 26309733 22205972 23153226 28649752 34187812 20333231 24156763 24376739 21342577 25030307 30019526 20426822 25411232 19424419 22931202 21873298 18401354 21967423 21418570 26549748,51,12529307 5260917 17567996 17326095 15496913 17568012 18629665 16687732 17581585 17148474 17053093 17324271 17144929 17571346 1674714 12045153 7713447 16824020 14500911 15060014 12655543 17567995 15592404 1975559 15265794 16597247 15778292 17272647 9367129 3294162 15660152 17572023 12529312 8583911 16606704 10973062 15131266 16024819 12411613 16719932 17431167 16628248 17382889 11125071 16925838 16169926 17495919 14681465 17322288 17594489 15630479,10.1101/gr.6761107
18428782,2007,Using galaxy to perform large-scale interactive data analyses.,"James Taylor, Ian Schenck, Dan Blankenberg, Anton Nekrutenko",Curr Protoc Bioinformatics,Yes,87,30755478 20069535 21829353 23284961 20603005 21127502 20955712 23887147 22178956 21946562 21215856 38601602 25282150 26339642 21083938 28809010 20185563 20738864 22593555 27647925 26895048 21464227 29262541 25201068 24330647 21628449 21859804 26484275 21725282 27680298 23260764 21775304 22155733 24753418 31206899 21555518 24516132 23045484 27529747 20562416 21642992 30242092 21426544 37460038 20630057 26820452 21281512 21602788 21445258 20885785 32556167 21705439 36227427 21429199 22290882 19128492 23041558 21258325 29534677 28232859 21131983 26098997 20336453 21473784 21210983 25477868 21736739 33907528 26727204 21636662 21486463 20354124 20531367 19417011 27338794 21531983 20088816 30212521 20843365 21814200 20441614 28510076 21364759 18818719 39193916 19041391 25940700,27,21097880 19844228 19563753 20069535 12519945 14681459 17568012 15608257 18798982 19261174 15608248 11125122 19736561 19920125 21775304 20959295 18428713 18428779 16381898 20521244 16169926 14681465 20562416 21037257 19505943 21975942 20738864,10.1002/0471250953.bi1005s19
18613975,2008,Accumulation of GC donor splice signals in mammals.,"Alexander Churbanov, Stephen Winters-Hilt, Eugene V Koonin, Igor B Rogozin",Biol Direct,Yes,21,28339459 28472998 32484558 32499820 31319209 19858364 19933210 19339348 34846068 22507701 29969168 30443733 26025321 25208899 20067640 37025931 35716007 22720068 21609956 31131953 24681622,19,17166280 12140320 12887888 14685174 15659557 15590946 17194304 12214237 17142222 11410667 15060014 15100438 11058137 17299026 9990048 1882420 14635248 9424178 12917688,10.1186/1745-6150-3-30
18842685,2008,Wheels within wheels: clues to the evolution of the Gnas and Gnal loci.,"Samir Wadhawan, Benjamin Dickins, Anton Nekrutenko",Mol Biol Evol,Yes,7,24898037 21886607 21214909 22833248 20931201 23752180 24268734,74,1848481 11752189 12047938 12175810 11032382 15331575 11254676 12376090 9468525 12187947 10931851 10729789 11596062 3135154 16110341 1997210 16575178 17511511 9860993 11753386 1302014 16484323 15273686 9707596 10508237 2111318 16099856 15034147 10226807 11001929 1335185 10931823 12970307 10712433 1845916 8290554 15798190 12040175 9582070 11583302 10980525 15568986 15883378 15147378 12719376 9671744 10592250 10937248 12147228 15705779 12069545 15324834 16044173 11274197 2330056 2035190 12364467 15509596 7968485 9933566 12683973 7997272 10749992 12897124 8486667 9111083 11447126 11454767 11056047 16844977 11319261 12145344 11934356 14960472,10.1093/molbev/msn229
19617558,2009,Transcriptome of embryonic and neonatal mouse cortex by high-throughput RNA sequencing.,"Xinwei Han, Xia Wu, Wen-Yu Chung, Tao Li, Anton Nekrutenko, Naomi S Altman, Gong Chen, Hong Ma",Proc Natl Acad Sci U S A,Yes,62,20858287 35215136 30987229 25955442 32987100 23954679 22805612 35863715 26967898 24820969 28297672 29902499 21873192 21659555 25172477 25804493 28302071 26578248 23967161 32295151 20950357 26021602 21985610 36581251 31954693 20130067 21967120 21904664 28691208 34764345 23758853 33827428 33864541 23700457 29514854 23727006 23527048 22701400 22109349 22691069 25486443 24240175 27296384 35143657 21035105 22687574 23195409 22437873 24038472 25527292 24485249 35656552 26964679 27504473 30248404 21663663 35470239 30716470 31697968 21197665 20687943 30862816,42,15618518 18519653 18307793 18171944 11172053 14515137 16646809 17622796 17568012 18692473 15707899 15385155 18599741 17589504 11399431 16766705 8210173 7590242 17013924 18978772 11226216 15252809 18488015 17571346 9521922 15857918 15142957 9521921 12045153 18598911 16169926 11597334 16500937 18558859 18550803 18516045 18451266 16002470 11438693 18329356 10888876 18987734,10.1073/pnas.0902417106
19622008,2009,Treating hypertension by rational use of diuretics: results of the Russian ARGUS-2 Study.,"Z D Kobalava, Y V Kotovskaya, S V Villevalde, V S Moiseev",Curr Med Res Opin,Yes,6,20535070 25141122 23031145 21671161 21475621 21208153,34,17495848 17914893 17563527 12494109 11057435 10927724 15983291 15722657 12583531 12131525 17159087 9042847 11040241 17240286 11904577 9635947 11677375 11772148 16313275 12131512 15619390 14597836 17931463 12759325 16451099 10752701 12418946 12514650 15257186 18378519 10981110 14656957 9856369 12479763,10.1185/03007990903157531
19819906,2009,Windshield splatter analysis with the Galaxy metagenomic pipeline.,"Sergei Kosakovsky Pond, Samir Wadhawan, Francesca Chiaromonte, Guruprasad Ananda, Wen-Yu Chung, James Taylor, Anton Nekrutenko",Genome Res,Yes,42,21546400 20738864 37630527 22831844 22154470 25478562 30221593 25002910 20954840 37692897 26137199 36920536 21044341 29917068 36402995 21329209 23587339 27974626 21504986 21062764 35686143 22265636 24906487 33671794 25673291 30358140 25655493 22016405 22559942 29790941 23281941 21690186 28785418 20088974 20804568 24451270 20843733 21083857 20484376 23101691 25344700 29906293,35,16741115 17933580 18262676 17028096 15001713 16850403 17355175 17090214 17255551 15590779 16200051 17272687 15845853 18212088 17355176 17981945 19052320 18851752 16056220 17881408 18803844 16368896 17179938 8561471 14961025 10988064 10890397 15886695 11062127 17936679 9707542 18550803 17790039 16439655 11459054,10.1101/gr.094508.109
20069535,2010,Galaxy: a web-based genome analysis tool for experimentalists.,"Daniel Blankenberg, Gregory Von Kuster, Nathaniel Coraor, Guruprasad Ananda, Ross Lazarus, Mary Mangan, Anton Nekrutenko, James Taylor",Curr Protoc Mol Biol,Yes,988,25134423 36479207 23782598 22570118 27422148 28180294 22311686 25033203 31320922 27683878 25530806 29367313 22244672 20944597 23023002 36178359 25875648 21435340 28333980 37527248 29312173 25301795 37271582 24109235 25983555 34706263 22948727 26917946 23651472 29238562 28669057 27559081 22426983 23517041 23959903 28089793 33284816 33473594 33568057 26405179 26704769 24034694 37043357 23616639 27413049 22684630 26981540 24033506 24415951 23437888 34077527 25332396 22160368 21775304 25269082 22187159 31206812 25216965 26870323 25610492 33705383 26884172 24143261 26746719 27546286 23590133 20562416 26481156 26809776 23800020 26407293 26369564 27187206 26816378 25560877 23217708 29379047 22290570 22844240 21127032 36167023 27899692 22978666 28753614 23091610 25416157 25258385 25496518 22163018 29152146 32272720 28531857 25246391 27806689 35048055 25689626 26727204 33430992 22866951 36882415 37955051 37010501 30092360 24495746 26130132 26559640 28558786 25036628 26559510 32365465 27284149 23525215 25942392 23746450 33735458 26618080 23284860 25081361 29950417 21398667 26546062 27768696 29986940 26822956 32221555 26058078 23285269 25288881 29903817 24204364 25375783 25902146 27183917 27690326 24015321 24460651 24795366 22436995 32951078 25374366 28300060 32708047 22178956 27977811 21806842 23618903 27187213 23826117 25733685 25494645 28805744 23112852 35497502 28011720 25889517 28809010 23091480 26416763 26509799 30698642 28473532 26890892 29330752 27648767 22182516 24069019 23019592 22925268 27295129 29760686 26904381 33499960 30820436 25765478 27824878 33473752 38368480 26968893 27184839 34154419 26040700 24715956 27551316 26153621 30242092 23241442 27818709 22916038 25187921 23431270 27595912 22788835 32392221 28365388 23878396 28507068 25338045 38943781 26576927 28492543 27014241 27726070 23138293 23144753 25370810 24122155 28843847 26246448 22241775 29074984 25381466 30020972 25106430 24574113 22332770 30788464 24174538 24533097 26784334 27197220 23200141 24381224 27137889 33731218 24981874 24860646 24119402 29616401 26330513 35177872 27822531 22318148 30283134 25960870 35788820 26032621 25408143 26367311 27729495 27014637 22208806 25271953 27727301 24990181 25461531 28451381 20798181 33927041 30601857 20828407 29086356 22835905 24809961 28973433 25254202 26555136 23806640 29299274 25729644 24278254 26619249 28472137 23555266 25943950 37516855 31462573 27854025 26673205 24431285 27371587 25270889 23019145 23587322 26125535 30518876 26941726 27110057 28277618 22013056 29176792 34725353 26335558 25837352 29262541 23222956 23450065 37071357 28416602 26243864 24725595 25512309 22693437 25354728 23821616 26260686 25993016 33182226 32011231 27002799 24707728 32605926 34316264 27441714 35145977 25023399 26336600 26809617 26268216 37994269 29549470 22121217 23166490 28718817 27942268 26664751 28631370 26463374 27485430 28088719 24714572 26437850 33664728 30400817 18428782 23979845 28674428 28811363 27513743 23785211 23246434 21702898 25587356 24194939 25573919 27965039 25566535 24642956 38578096 24524824 22460777 27979681 31522987 28409197 25874767 28076385 36399504 27036196 23142869 26701894 22241655 23360752 26106863 27345455 28919887 30651074 26237414 27662479 22592263 25063302 23740754 22589737 27547555 23157543 24870133 29215193 25374662 28467304 27217061 32392297 26067805 25149441 27507714 24244172 32042113 24142692 26303215 22907126 24510651 24020993 25981527 25673726 29221194 26340749 22925561 26911138 33033229 25240600 20551130 22082985 27506856 25178461 30378067 36476810 23446348 24152123 23695510 26753530 25903559 26729710 25270638 24836556 26000959 31242080 22722341 27809315 24841204 27889654 28232853 24468638 22933118 26545824 37208413 22495107 23949665 27680298 34694601 32406871 29871589 22393367 30659200 31206899 22318370 23704325 24142927 25901318 24146886 24065774 25559185 24323947 24531329 21898659 28134595 21676244 27115645 27375605 24102760 29892283 28168528 23292769 24934157 24926684 26105955 29099869 24486053 27138938 34938732 25159659 29141987 25710176 22846614 24212571 22174336 21975940 25789611 28874666 29344883 26794459 28081127 26517682 30165699 25122764 28348455 29233840 26914027 24743989 25392408 25470036 27559612 23028371 34287641 33500425 23405090 27738033 33420926 21824424 28190769 22080514 28045932 25141977 30102296 27423697 25263553 30583062 25228379 28131286 29994265 39134629 22071789 26082035 31765427 27507172 23009612 29163429 22234185 30674975 23705625 24823909 27188581 22527048 27307441 25153451 25539578 34399616 23576735 32355508 29927117 25750651 30683683 21849501 28348823 33110490 20738864 22888776 26982264 29259341 33013794 27647925 31504749 26205246 23754964 29559980 26001963 26969326 26903243 30274988 28774270 21985647 30585666 24475911 23496927 29895326 24146635 25940616 22426516 35247330 26858644 30002974 31247106 21796729 22877946 23299976 23134663 25116387 27170122 25289185 24492782 24617463 30168143 29219224 33664148 33847137 34168630 37811477 22286170 24465230 38297077 22967011 26747700 32161974 24013668 24180001 29713682 26330564 25679538 24039921 29228191 25823460 27409810 25327456 27207593 37446959 23007497 22244882 27811368 21779993 22125492 25352915 26305776 31917801 21531983 24885796 27694116 33473518 25770825 25925576 26024640 28008326 29197720 23585853 22573864 23828175 21325135 25433394 22434844 28348028 21876154 23300636 27115642 27014307 31308175 26670384 31093969 22138689 31504770 28322850 32203519 32974330 26647462 33473516 25857259 28462820 24274182 23165690 23964072 24098367 24244136 26809562 28916725 32833996 26785289 26728195 24614173 25122696 38126211 25638407 22808153 26125026 24866801 27473283 22536961 24936592 25123787 26209359 27427999 23526890 29346424 24038469 29795614 25654371 25884927 26993067 25866327 31428130 27940544 22471526 28389337 26423963 30356268 28325845 36726566 25889977 25407802 23031785 36504811 27402714 25226282 27529747 31285643 22941647 28325976 24767457 26973660 21769930 27307436 32512502 25495099 26495995 27899609 28198425 35904801 27926935 30884189 30068019 24484454 31425969 24262036 31501873 29662210 23937694 25985232 29286406 31861322 29046445 26157614 38292471 24643548 27589897 21602820 31551432 29259308 24410873 23024011 31191570 26563301 29940849 27547674 26824330 24875479 33490405 20959292 27309962 27094387 26457756 28910295 29766023 27459147 23035217 38461412 23104862 30698691 32231653 22971109 26793216 28719624 27193495 26886859 21999392 24205054 23259585 23225669 27091472 38888361 33480139 25471935 25758168 24385572 28104538 24055367 36322456 23630175 25426020 25437606 33276344 30755478 24626195 26429547 33689914 22929767 25828846 26715089 23284300 26589234 26957424 25493640 23417808 24884695 27061184 23768514 21597963 25924884 23208582 27761941 24234653 23598999 31545882 26462132 28005006 22312116 23479349 35806048 24377391 21154708 28166208 28448583 25824819 26287465 29947801 30347190 23758618 27129775 25368318 32179754 30541431 31772190 28163975 26259508 24785154 24621177 35255807 27008019 25983189 35379747 27280887 26999439 23771147 24847104 22506031 26055099 31050378 29165566 22833390 33413071 23558556 28327625 36139139 24498620 24281413 24418478 25605763 26401917 24710023 22573176 22982528 28224117 24210918 22290882 23345519 29379011 28707409 30108205 23166503 27632983 25199775 26452642 25455112 33159012 23052906 28848558 27317696 26238382 25287500 28573858 24292384 32179620 26765536 21668950 24894641 25324189 27142109 37089036 26286928 27491434 30151354 23255150 28429737 22595210 27120160 24228734 33626541 33763994 38133241 32807105 23966855 28327945 31213517 28081858 28145423 25888466 22829784 29771498 29930763 25728776 28734070 25766392 21919057 28618121 22319519 31011849 31408468 35720548 27122079 27363426 23637635 24823795 24971482 25335909 30854567 25982817 25883147 26134422 25261407 23741392 22790872 25420106 24185699 28686690 25162599 23828784 27324409 23649539 20972444 29717215 22594313 21549339 23895370 31728271 27862816 27021815 22028663 24673931 22558397 22294350 26038455 25662012 23608706 29259021 26046471 29165653 26271989 26525672 22965131 21725282 32516596 28173873 29276048 36241527 28055179 28679760 29333231 30737130 27307498 31029061 29607265 28245801 27142337 35550230 31104845 24885806 23827707 25957774 23898300 24179440 28045018 30232389 25352541 23708796 28446616 22222089 28545061 22135368 24315104 34019098 27643783 30698777 26282399 25079910 24344916 23303787 35992693 26384374 28472921 33708196 32054920 24699451 29581793 27724982 29023520 33219211 28306751 24954950 35866590 24109552 34035404 24196873 21736739 29788244 28389755 28302160 23244505 28495778 28024525 28445475 28291780 21400673 26585125 22925482 24519855 21907785 31182012 23825368 23480581 35533730 38659924 27561409 27211271 23995255 25655493 25228471 30151174 28647586 21317142 26561006 39193916 27471053 25504438 26575863 23893483 22721557,4,18086701 15988478 18428782 14681465,10.1002/0471142727.mb1910s89
20164927,2010,Complete Khoisan and Bantu genomes from southern Africa.,"Stephan C Schuster, Webb Miller, Aakrosh Ratan, Lynn P Tomsho, Belinda Giardine, Lindsay R Kasson, Robert S Harris, Desiree C Petersen, Fangqing Zhao, Ji Qi, Can Alkan, Jeffrey M Kidd, Yazhou Sun, Daniela I Drautz, Pascal Bouffard, Donna M Muzny, Jeffrey G Reid, Lynne V Nazareth, Qingyu Wang, Richard Burhans, Cathy Riemer, Nicola E Wittekindt, Priya Moorjani, Elizabeth A Tindall, Charles G Danko, Wee Siang Teo, Anne M Buboltz, Zhenhai Zhang, Qianyi Ma, Arno Oosthuysen, Abraham W Steenkamp, Hermann Oostuisen, Philippus Venter, John Gajewski, Yu Zhang, B Franklin Pugh, Kateryna D Makova, Anton Nekrutenko, Elaine R Mardis, Nick Patterson, Tom H Pringle, Francesca Chiaromonte, James C Mullikin, Evan E Eichler, Ross C Hardison, Richard A Gibbs, Timothy T Harkins, Vanessa M Hayes",Nature,Yes,255,22108628 26616214 22878977 21576758 29068052 38269496 28839204 32359431 24773319 26292085 21811411 32251390 23423246 20601439 30714023 26308346 24385046 23290073 24444409 27644073 32736000 21926973 21876680 27998939 25892534 22181813 21205862 22840920 20471132 24770584 20479773 31023378 24032721 20336115 29764232 33948343 23530231 26655325 23714101 22503634 20659353 24377391 23369189 27298471 29162904 24723425 21709235 37511712 29571357 21493686 24492235 23121054 30184194 22183465 26627985 24066090 26149650 24789680 24009664 25056320 22118054 22024832 27732658 35620464 25807545 23221638 21188353 31884621 21170043 20822512 22350990 27771416 21485428 29559695 29539329 21876754 31659339 29233967 23597787 36868214 27898983 31288264 24162011 22938532 23072811 32062419 22830651 21725310 24045839 21187386 22960214 30912487 37955273 22858376 30566479 34984576 20858594 27221143 33075813 24948778 21890477 21896735 24059264 21460062 25281234 30892943 25471224 31162291 36629046 21682852 22228021 27934697 32697301 21383195 31684976 28132517 22676195 22808138 22147368 32892676 24708091 36459247 23405914 24376522 21965822 24481193 20643205 20413655 30241160 22130969 22800726 24558117 24448544 25581429 21787409 29195075 23137920 29539486 21913172 30263136 28332548 30054469 22589724 24386182 26632886 34739985 22517761 20854710 22178956 26249230 33863602 25162009 24375697 24319198 38017150 21908518 21903742 35731331 23516368 22844100 22038764 32679846 22248320 20942671 22751100 26305225 22155605 26480842 29549179 21677270 20519329 23742747 23453668 22937107 21628451 21516613 21054242 21859804 25212860 22337862 34740451 21350636 20959295 23590730 24068950 21102452 28572608 21592371 23893136 24615884 22178994 26577449 34872534 21342586 22267501 21102628 20620905 20980553 21776081 21776000 28214997 31312899 22539720 22563365 23413113 20815917 22082336 32654776 22955616 20506564 22997136 20488934 22948027 21131385 31861999 21241889 23571861 22649660 23405114 22138481 29332164 24704073 23059453 25169894 37105174 20360711 21347407 36630457 21962505 22532433 22883142 34296264 21352535 21159622 23892896 28614374 23190494 22282346 23954866 28497567 20453204 29706352 20834052 32668367 20717978 21594611 20807775 25834724 33991680 29727585 20964599 20414896 21850041 25461616 23959643,28,18714091 18987735 16224025 19369595 18421352 19892779 17194802 17803354 15654335 19383631 19407144 17828263 19503611 19180233 19165922 19781941 11528385 12529309 19729620 19470904 14527082 10508508 17194218 18987734 18385274 18776908 10072441 19718026,10.1038/nature08795
20238087,2010,Web-based analysis of (Epi-) genome data using EpiGRAPH and Galaxy.,"Christoph Bock, Greg Von Kuster, Konstantin Halachev, James Taylor, Anton Nekrutenko, Thomas Lengauer",Methods Mol Biol,Yes,8,22399470 20944597 22581641 22907503 21531983 24447369 21266347 22029426,37,18000006 17522677 19325872 16141249 17568012 18258921 18487274 17559301 15499007 18024971 16837523 16520826 16895995 18413340 17511513 16818882 18063559 17967045 16642018 18250624 19208250 15509596 17943122 17320505 17072317 17160063 17230196 18086701 14762061 16169926 18600261 15461798 17604446 17545577 18536702 10827456 15920525,10.1007/978-1-60327-367-1_15
20333199,2009,High-resolution mapping of evolutionary trajectories in a phage.,"Benjamin Dickins, Anton Nekrutenko",Genome Biol Evol,Yes,7,36557580 21699709 23226153 20643739 36686193 34896458 23533679,37,12047938 17598750 18987735 9409816 18337718 15778707 18421352 18804189 16528052 10411508 10628966 16670974 17825320 18366653 731693 870828 18775913 12776215 10833201 8158636 15687276 11779783 8264415 19287448 18779988 4575181 9521922 19327155 9521921 18984052 18204455 18987734 13913400 16361237 17652172 15911582 11127915,10.1093/gbe/evp029
